health,score,class_packs,out_of_bounds,result_rate
87,82.39,10,0,89.79666666666668
71,73.83,7,0,71.61
78,97.88,10,1,86.96
93,75.89,10,1,84.63
92,87.03,9,0,89.67666666666666
80,76.06,8,0,78.68666666666667
84,87.21,10,1,85.40333333333331
79,82.11,7,0,77.03666666666669
87,89.83,7,0,82.27666666666666
96,83.52,7,0,83.17333333333333
89,98.5,8,0,89.16666666666669
82,89.24,10,1,85.41333333333334
75,76.76,8,0,77.25333333333333
89,94.15,10,0,94.38333333333333
100,86.78,7,1,80.5933333333333
80,73.68,8,1,72.89333333333333
99,75.8,10,1,86.60000000000002
82,80.31,7,0,77.43666666666667
91,99.58,10,1,91.86
79,76.7,7,0,75.23333333333333
73,76.44,9,1,74.81333333333333
98,75.25,9,1,82.75
81,80.16,9,0,83.72
92,83.6,8,1,80.2
92,70.23,10,1,82.41000000000003
58,63.22,5,0,57.07333333333333
58,62.3,5,0,56.76666666666667
49,48.29,4,0,45.76333333333333
55,41.16,5,0,48.72
56,64.95,4,0,53.65
65,60.09,5,0,58.36333333333334
40,57.64,6,0,52.54666666666666
58,51.49,4,0,49.83000000000001
52,52.91,6,0,54.97
64,68.03,4,0,57.34333333333333
56,61.0,5,0,55.66666666666666
47,58.6,4,0,48.53333333333333
48,45.69,6,0,51.23
44,41.56,6,0,48.52
63,45.7,5,0,52.9
54,42.04,4,0,45.34666666666666
57,55.47,4,0,50.82333333333333
47,47.54,6,0,51.51333333333333
41,56.6,6,0,52.53333333333333
69,40.84,5,0,53.28
55,41.86,6,0,52.28666666666667
54,61.65,5,0,55.21666666666667
51,59.03,4,0,50.01
48,64.7,6,0,57.56666666666666
68,53.08,6,0,60.35999999999999
57,44.96,5,0,50.65333333333334
64,66.34,4,0,56.78
50,63.76,5,0,54.58666666666666
63,63.53,4,0,55.51
62,62.37,5,0,58.12333333333334
45,52.69,4,0,45.89666666666667
61,42.95,4,0,47.98333333333333
62,60.13,5,0,57.37666666666666
58,53.39,5,0,53.79666666666666
43,66.47,6,0,56.49
54,64.64,4,0,52.88
66,61.03,6,0,62.34333333333333
49,57.47,4,0,48.82333333333333
68,53.78,4,0,53.92666666666667
51,59.74,4,0,50.24666666666667
65,40.78,4,0,48.59333333333333
53,60.07,5,0,54.35666666666666
40,53.02,5,0,47.67333333333334
41,41.42,4,0,40.806666666666665
52,63.18,4,0,51.72666666666667
69,60.48,5,0,59.82666666666666
49,42.57,6,0,50.52333333333333
46,48.75,4,0,44.91666666666666
55,41.26,5,0,48.75333333333333
59,43.29,5,0,50.76333333333333
66,52.19,6,0,59.39666666666667
62,51.96,5,0,54.65333333333334
43,50.49,4,0,44.49666666666667
48,41.46,4,0,43.15333333333334
61,57.47,5,0,56.15666666666666
58,58.36,6,0,58.78666666666667
47,58.54,4,0,48.51333333333333
56,64.92,4,0,53.64000000000001
67,59.43,6,0,62.14333333333334
63,60.88,5,0,57.96
56,67.77,6,0,61.25666666666666
53,46.0,6,0,53.0
66,49.35,5,0,55.11666666666667
68,59.73,5,0,59.24333333333333
55,58.51,5,0,54.50333333333333
50,67.14,6,0,59.04666666666666
48,50.02,6,0,52.67333333333334
64,51.78,6,0,58.59333333333333
40,41.41,6,0,47.13666666666666
56,55.09,4,0,50.36333333333334
59,44.18,5,0,51.06
40,48.82,6,0,49.60666666666666
57,66.33,6,0,61.10999999999999
56,40.55,6,0,52.18333333333334
50,53.67,4,0,47.89000000000001
48,46.23,4,0,44.74333333333333
61,49.89,5,0,53.63
56,50.18,6,0,55.39333333333334
54,68.23,4,0,54.07666666666668
47,65.33,6,0,57.44333333333333
56,46.01,6,0,54.00333333333333
61,50.32,6,0,57.10666666666666
55,42.84,6,0,52.61333333333334
63,45.83,6,0,56.276666666666664
58,58.18,5,0,55.39333333333334
51,64.15,4,0,51.71666666666667
48,68.17,5,0,55.39000000000001
53,59.14,6,0,57.38
61,59.92,6,0,60.30666666666667
53,62.26,6,0,58.42
62,55.25,5,0,55.75
41,50.57,6,0,50.52333333333333
61,55.89,4,0,52.29666666666666
65,59.71,6,0,61.57
53,62.31,6,0,58.43666666666667
52,61.42,6,0,57.80666666666667
51,68.56,5,0,56.52
54,49.28,4,0,47.76
52,61.95,4,0,51.31666666666666
68,41.14,6,0,56.38
51,52.53,6,0,54.51
40,57.31,4,0,45.77
54,41.36,4,0,45.12000000000001
48,64.07,4,0,50.69
40,65.97,5,0,51.99
50,68.66,4,0,52.88666666666666
67,53.61,5,0,56.87000000000001
58,47.58,5,0,51.85999999999999
51,52.88,6,0,54.62666666666666
48,56.54,5,0,51.51333333333333
41,58.58,4,0,46.526666666666664
69,68.16,6,0,65.72
42,44.7,4,0,42.23333333333333
44,44.77,6,0,49.59
49,57.03,6,0,55.34333333333333
51,41.04,4,0,44.01333333333333
58,59.46,5,0,55.82
68,40.42,5,0,52.80666666666667
57,52.56,5,0,53.18666666666667
43,54.14,5,0,49.04666666666666
61,48.83,5,0,53.276666666666664
56,55.36,5,0,53.78666666666667
59,48.52,6,0,55.84
42,51.74,4,0,44.58000000000001
62,45.11,6,0,55.70333333333334
45,47.96,4,0,44.32
60,66.46,4,0,55.48666666666666
42,67.32,4,0,49.77333333333333
64,52.92,5,0,55.64000000000001
66,67.05,4,0,57.68333333333334
68,52.58,6,0,60.19333333333333
55,62.03,5,0,55.67666666666667
48,51.72,4,0,46.57333333333333
61,55.3,4,0,52.1
61,47.79,4,0,49.59666666666666
48,68.63,6,0,58.87666666666666
60,60.36,6,0,60.12000000000001
68,68.82,5,0,62.27333333333333
58,49.37,5,0,52.45666666666667
57,57.07,5,0,54.69
54,45.59,6,0,53.19666666666666
67,57.22,4,0,54.74
46,51.98,5,0,49.32666666666666
49,53.23,5,0,50.74333333333333
48,61.54,6,0,56.51333333333333
50,56.5,4,0,48.83333333333334
69,53.7,6,0,60.9
54,66.53,6,0,60.17666666666667
55,45.55,5,0,50.18333333333334
61,61.65,6,0,60.88333333333333
50,57.02,5,0,52.34
66,48.66,6,0,58.22
60,62.58,4,0,54.19333333333333
63,43.66,5,0,52.22
40,48.55,6,0,49.51666666666667
60,60.05,6,0,60.01666666666667
52,53.15,6,0,55.05
66,59.81,6,0,61.93666666666667
58,61.71,5,0,56.57
60,63.49,5,0,57.83000000000001
69,43.01,4,0,50.67
64,48.74,6,0,57.58000000000001
59,63.99,5,0,57.66333333333333
61,59.67,5,0,56.89000000000001
62,40.75,5,0,50.91666666666666
44,58.39,4,0,47.46333333333333
56,45.53,4,0,47.17666666666667
69,54.08,5,0,57.69333333333333
58,45.15,5,0,51.05
55,59.64,5,0,54.88
47,68.78,4,0,51.92666666666667
67,45.15,5,0,54.05
53,61.08,5,0,54.69333333333333
49,47.34,6,0,52.11333333333334
57,47.45,4,0,48.15
64,65.36,4,0,56.45333333333334
69,67.67,4,0,58.89000000000001
42,61.68,4,0,47.89333333333334
61,66.14,5,0,59.04666666666666
47,58.16,4,0,48.38666666666666
59,68.57,4,0,55.85666666666666
55,40.61,6,0,51.87000000000001
69,47.1,6,0,58.7
51,63.81,6,0,58.27
67,48.5,5,0,55.16666666666666
47,64.16,4,0,50.38666666666666
42,44.42,6,0,48.80666666666667
47,58.49,4,0,48.49666666666667
40,56.31,6,0,52.10333333333333
60,53.37,6,0,57.79
53,48.97,4,0,47.32333333333333
59,49.32,4,0,49.44
63,55.32,5,0,56.10666666666666
64,44.12,5,0,52.70666666666667
53,57.71,4,0,50.23666666666667
64,52.39,5,0,55.46333333333333
65,47.04,6,0,57.34666666666666
64,62.05,6,0,62.01666666666667
48,54.76,6,0,54.25333333333333
67,41.5,5,0,52.83333333333334
16,37.43,0,0,17.81
34,20.15,3,0,28.05
6,31.37,2,0,19.12333333333333
22,35.56,2,0,25.85333333333333
21,32.87,2,0,24.62333333333333
1,35.56,1,0,15.52
4,33.01,3,0,22.336666666666666
21,9.15,1,0,13.383333333333333
21,10.54,2,0,17.18
20,35.56,1,0,21.85333333333333
33,32.64,0,0,21.88
38,30.77,2,0,29.59
39,23.38,2,0,27.46
4,17.7,3,0,17.233333333333334
2,34.7,1,0,15.566666666666668
1,16.26,2,0,12.420000000000002
16,8.45,1,0,11.483333333333334
37,8.35,1,0,18.45
3,14.19,3,0,15.73
35,21.38,1,0,22.126666666666665
32,9.45,2,0,20.483333333333334
14,10.31,2,0,14.77
22,33.18,2,0,25.06
18,9.46,0,0,9.153333333333334
21,23.63,2,0,21.54333333333333
23,28.17,1,0,20.39
20,36.65,1,0,22.21666666666667
9,7.05,0,0,5.3500000000000005
33,21.15,0,0,18.05
0,29.55,0,0,9.85
30,17.08,3,0,25.69333333333333
32,13.36,3,0,25.12
36,19.61,3,0,28.536666666666665
37,14.91,3,0,27.30333333333333
0,33.7,2,0,17.900000000000006
30,29.71,1,0,23.236666666666668
27,37.32,2,0,28.106666666666666
31,29.06,0,0,20.02
12,27.22,3,0,23.07333333333333
25,35.01,3,0,30.00333333333333
8,18.58,2,0,15.526666666666666
14,15.69,1,0,13.23
8,26.18,0,0,11.393333333333333
22,29.32,3,0,27.106666666666666
34,0.51,3,0,21.50333333333333
37,8.98,3,0,25.32666666666667
20,9.58,3,0,19.86
16,23.64,2,0,19.88
25,2.34,0,0,9.113333333333333
20,29.32,0,0,16.44
18,2.55,3,0,16.849999999999998
20,2.52,1,0,10.839999999999998
34,36.22,2,0,30.07333333333333
35,34.48,2,0,29.826666666666664
24,1.95,3,0,18.65
9,10.4,3,0,16.466666666666665
6,9.75,2,0,11.916666666666664
34,7.52,1,0,17.173333333333332
16,32.4,0,0,16.133333333333333
9,10.37,2,0,13.123333333333333
34,27.44,1,0,23.81333333333333
25,8.01,0,0,11.003333333333332
31,8.57,3,0,23.19
14,17.09,0,0,10.363333333333333
1,23.33,0,0,8.11
12,10.31,3,0,17.436666666666667
19,11.04,1,0,13.346666666666666
11,4.16,1,0,8.386666666666667
28,22.83,3,0,26.94333333333333
13,13.95,0,0,8.983333333333333
35,13.66,3,0,26.22
6,18.31,0,0,8.103333333333332
2,0.54,1,0,4.18
11,17.18,0,0,9.393333333333333
9,8.1,0,0,5.7
5,30.67,1,0,15.223333333333334
39,15.07,0,0,18.023333333333333
5,30.58,1,0,15.193333333333333
21,20.53,2,0,20.51
22,4.52,3,0,18.84
1,16.44,2,0,12.48
39,0.54,0,0,13.18
13,6.89,1,0,9.963333333333333
10,19.83,2,0,16.61
4,10.28,2,0,11.426666666666668
7,12.05,1,0,9.683333333333334
32,16.6,2,0,22.866666666666664
9,8.81,2,0,12.603333333333332
15,6.85,0,0,7.283333333333334
34,34.78,0,0,22.926666666666666
37,32.67,2,0,29.89
39,1.85,0,0,13.616666666666667
22,27.79,1,0,19.93
13,2.22,0,0,5.073333333333333
17,36.54,3,0,27.846666666666664
21,8.18,1,0,13.06
16,0.88,0,0,5.626666666666666
27,1.36,3,0,19.453333333333333
36,38.99,2,0,31.663333333333334
32,0.49,3,0,20.83
39,38.05,3,0,35.68333333333333
25,27.32,0,0,17.44
29,6.63,0,0,11.876666666666667
31,24.6,3,0,28.53333333333333
8,17.1,2,0,15.033333333333333
27,26.03,3,0,27.676666666666666
4,13.22,2,0,12.406666666666665
12,7.15,1,0,9.716666666666667
33,10.21,1,0,17.736666666666668
30,1.55,0,0,10.516666666666667
28,10.84,2,0,19.613333333333333
5,38.38,3,0,24.46
20,36.17,2,0,25.39
17,24.75,1,0,17.25
27,14.25,2,0,20.416666666666668
18,28.4,2,0,22.133333333333336
14,16.68,1,0,13.56
33,12.16,3,0,25.05333333333333
6,0.05,0,0,2.0166666666666666
25,21.79,2,0,22.263333333333332
8,13.1,1,0,10.366666666666667
21,0.13,1,0,10.376666666666667
29,11.19,0,0,13.396666666666668
5,29.7,1,0,14.9
28,24.6,1,0,20.866666666666667
39,28.38,2,0,29.126666666666665
19,27.78,1,0,18.926666666666666
5,21.66,3,0,18.886666666666667
0,34.72,2,0,18.24
12,33.58,3,0,25.19333333333333
20,12.82,2,0,17.606666666666666
7,16.05,1,0,11.016666666666666
30,21.45,0,0,17.150000000000002
29,4.25,2,0,17.75
4,38.93,2,0,20.976666666666667
32,3.56,0,0,11.853333333333332
13,37.83,0,0,16.94333333333333
38,25.47,3,0,31.156666666666666
23,26.79,3,0,26.596666666666664
39,10.06,1,0,19.686666666666667
34,10.41,3,0,24.80333333333333
13,17.38,2,0,16.793333333333333
0,0.86,2,0,6.953333333333332
9,35.55,3,0,24.85
0,2.78,2,0,7.593333333333334
37,20.14,1,0,22.38
9,26.07,3,0,21.69
33,16.53,2,0,23.176666666666666
38,6.29,2,0,21.43
30,7.01,2,0,19.003333333333334
3,0.97,2,0,7.989999999999998
32,34.75,1,0,25.58333333333333
35,2.3,3,0,22.43333333333333
7,6.74,1,0,7.913333333333334
29,31.15,3,0,30.05
37,23.1,2,0,26.7
12,11.23,0,0,7.743333333333332
27,8.41,0,0,11.803333333333333
12,19.32,1,0,13.773333333333332
12,18.44,2,0,16.813333333333333
26,6.24,3,0,20.746666666666666
37,24.09,1,0,23.69666666666667
6,18.18,0,0,8.06
31,6.3,3,0,22.43333333333333
37,23.13,3,0,30.04333333333333
3,19.95,2,0,14.316666666666668
33,27.48,2,0,26.82666666666667
39,37.81,2,0,32.27
13,12.89,3,0,18.63
29,27.42,1,0,22.14
15,2.25,1,0,9.083333333333334
3,34.1,0,0,12.366666666666667
1,20.09,0,0,7.03
6,22.5,1,0,12.833333333333336
21,38.87,0,0,19.956666666666667
33,17.36,0,0,16.786666666666665
22,14.17,0,0,12.056666666666667
5,35.87,0,0,13.623333333333333
10,4.1,3,0,14.7
2,37.68,0,0,13.226666666666668
24,29.23,1,0,21.076666666666668
13,27.49,3,0,23.496666666666666
3,37.03,2,0,20.01
13,26.18,1,0,16.393333333333334
6,31.46,2,0,19.15333333333333
20,8.39,1,0,12.796666666666667
11,11.52,2,0,14.173333333333332
9,4.81,3,0,14.603333333333332
7,13.24,2,0,13.413333333333336
31,15.46,2,0,22.153333333333336
33,38.2,2,0,30.4
38,34.13,3,0,34.04333333333333
0,4.03,3,0,11.343333333333335
1,32.13,0,0,11.043333333333335
17,35.69,0,0,17.563333333333333
1,38.59,0,0,13.196666666666667
25,4.43,2,0,16.476666666666667
29,24.03,1,0,21.01
33,17.71,3,0,26.903333333333336
11,10.0,3,0,17.0
